key,lat,lon,plus,fips
Alabama|Tillman's Corner,30.5901929,-88.1708352,862HHRRH+3M,01097
Arizona|US-AZ-Cave Creek Canyon--Southwestern Research Station,34.0873069,-111.851004,856C34PX+WH,04025
Arizona|US-AZ-Florida Canyon--lower,31.7745307,-110.8678645,853FQ4FJ+RV,04019
Arizona|US-AZ-Hereford-Coronado National Forest - 31.3899x-110.2445,31.3899,-110.2445,853F9QQ4+X5,04003
Arizona|US-AZ-Hereford-Coronado National Forest - 31.4275x-110.2911,31.4275,-110.2911,853FCPG5+XH,04003
Arizona|US-AZ-Hereford-Coronado National Forest - 31.4525x-110.3030,31.4525,-110.303,853FFM3W+2R,04003
Arizona|US-AZ-Madera Canyon--Proctor Rd.,31.7401577,-110.8932141,853FP4R4+3P,04019
Arizona|US-AZ-Madera Canyon--Santa Rita Lodge,31.7401577,-110.8932141,853FP4R4+3P,04019
Arizona|US-AZ-Paradise--George Walker House,31.9348131,-109.2189503,853GWQMJ+WC,04003
Arizona|US-AZ-Patagonia-409 Pennsylvania Ave - 31.5404x-110.7580,31.5404,-110.758,853FG6RR+5R,04023
Arizona|US-AZ-Portal--Bob Rodrigues yard (Dave Jasper's old yard),31.9137028,-109.1414495,853GWV75+FC,04003
Arizona|US-AZ-Portal--Cave Creek Ranch,31.9137028,-109.1414495,853GWV75+FC,04003
Arizona|US-AZ-Portal--Dave Jasper's new yard (opened 2015),31.9137028,-109.1414495,853GWV75+FC,04003
Arizona|US-AZ-San Simon-4643-12099 Sulphur Canyon Rd - 31.8142x-109.0597,31.8142,-109.0597,853GRW7R+M4,04003
Arizona|US-AZ-Sierra Vista-Fort Huachuca - 31.5612x-110.3815,31.5612,-110.3815,853FHJ69+F9,04003
Arizona|US-AZ-Sierra Vista-San Pedro Riparian National Conservation Area - 31.5480x-110.1425,31.548,-110.1425,853FGVX5+62,04003
Arizona|US-AZ-Tucson-Tucson Mountain County Park - 32.2444x-111.1674,32.2444,-111.1674,854C6RVM+Q2,04019
Arizona|US-AZ-Tumacacori-12 Presido Dr - 31.6110x-111.0468,31.611,-111.0468,853CJX63+C7,04023
"Arizona|Ventana Resort, Tuscon",32.2217429,-110.926479,854F63CF+MC,04019
"Arizona|Wellton, Arizona",32.6728256,-114.1468821,8547MVF3+46,04027
Arizona|Whitewater Draw Wildlife Area,31.5616289,-109.7199002,853GH76J+M2,04003
Arkansas|Eureka Springs,36.4011825,-93.7379711,8688C726+FR,05015
"Arkansas|Lake Leatherwood, Eureka Springs,",36.4011825,-93.7379711,8688C726+FR,05015
"Arkansas|On the road, Faiiew, TX to Eureka Springs, AR",,,,
Austria|Defferregental,,,,
Austria|Seefeld,,,,
"California|Alameda - Crown Beach, California",37.7652065,-122.2416355,849VQQ85+38,06001
"California|Along Forrester Road, El Centro",32.8055764,-115.6380659,8546R946+6Q,06025
"California|Along I-8, Approaching El Centro",32.792,-115.5630514,8546QCRP+RQ,06025
"California|Andre Clark Bird Refuge, Santa Barbara",34.4216051,-119.6607812,8562C8CQ+JM,06083
"California|Anza-Borrego Desert State Park, California",33.2602214,-116.434307,85557H68+37,06073
"California|Anza-Borrego, Palm Canyon",33.3292148,-116.3937517,85558JH4+MF,06073
"California|Arrowhead Marsh, Oakland, California",37.7439112,-122.2136231,849VPQVP+HH,06001
California|Asilomar,36.6530378,-121.796313,848WM633+6F,06053
"California|Back Bay, California",33.6188829,-117.9298493,8554J39C+H3,06059
"California|Back Bay, Orange County",33.6188829,-117.9298493,8554J39C+H3,06059
"California|Beach at Carlitto, Santa Barbara",34.4208305,-119.6981901,8562C8C2+8P,06083
California|Berkeley,,,,
"California|Berkeley, California",37.8715926,-122.272747,849VVPCG+JW,06001
California|Big Sur,36.2704212,-121.807976,848W75CR+5R,06053
California|Bodega Bay,38.33325,-123.0480571,84CR8XM2+7Q,06097
California|Bolsa Chica State Park,33.7248578,-118.0376373,8553PXF6+WW,06059
California|Borrego Springs,33.2558717,-116.375012,85557J4F+8X,06073
California|Brawley,32.9786566,-115.530267,8546XFH9+FV,06025
California|California Specialities,,,,
"California|California Specialities, Watsonville",36.9299162,-121.7906906,848WW6H5+XP,06087
"California|California Specialties, Watsonville",36.9299162,-121.7906906,848WW6H5+XP,06087
California|Carmel,36.5552386,-121.9232879,848WH34G+3M,06053
"California|Cattle Call Park, Brawley",32.9691697,-115.5560809,8546XC9V+MH,06025
"California|Chula Vista, San Diego",32.6400541,-117.0841955,8544JWR8+28,06073
"California|Coloma, California",38.7999214,-120.8902916,84CXQ4X5+XV,06017
California|Concord,37.9779776,-122.0310733,849VXXH9+5H,06013
"California|Concord, California",37.9779776,-122.0310733,849VXXH9+5H,06013
California|Corona Del Mar,33.5978595,-117.8730142,8554H4XG+4Q,06059
"California|Corona del Mar, California",33.5978595,-117.8730142,8554H4XG+4Q,06059
"California|Corona del Mar, Orange County",33.5978595,-117.8730142,8554H4XG+4Q,06059
"California|Costanoa, California",37.1552,-122.34805,849V5M42+3Q,06081
"California|Crescent Bay Park, Laguna Beach",33.5471288,-117.8020379,8554G5WX+V5,06059
"California|Crystal Cove, Orange County",33.5753013,-117.8414449,8554H5G5+4C,06059
"California|Dana Point, California",33.4672256,-117.6981014,8554F882+VQ,06059
"California|Del Mar, San Diego",32.9594891,-117.2653146,8544XP5M+QV,06073
"California|East bay back roads, California",,,,
"California|El Camino Real, San Ardo",36.0205207,-120.9051826,848X23CV+6W,06053
"California|El Capitan State Beach and Ocean Mesa RV Park, California",34.4652674,-120.0253717,846XFX8F+4V,06083
"California|Elkhorn Slough, California",36.8325072,-121.765131,848WR6MM+2W,06053
"California|Eureka, California",40.8020712,-124.1636729,84GQRR2P+RG,06023
"California|Fisherman's Wharf, San Francisco",37.8079996,-122.4177434,849VRH5J+5W,06075
"California|Gilman Park, Fullerton",33.9022476,-117.8769288,8554W42F+V6,06059
California|Glen Ellen,38.3640795,-122.5241487,84CV9F7G+J8,06097
"California|Heisler Park, Laguna Beach",33.5434011,-117.7901115,8554G6V5+9X,06059
California|Highway 29,,,,
"California|Hwy 1 coast north, California",,,,
"California|Hwy 1 near San Simeon, California",35.6470772,-121.1921383,847WJRW5+R4,06079
"California|Hwy 1, California",,,,
California|Idyllwild,33.7399245,-116.7188008,8555P7QJ+XF,06065
"California|Idyllwild, California",33.7467471,-116.7152556,8555P7WM+MV,06065
California|Irvine Lake and Park,33.6871454,-117.1921178,8554MRP5+V5,06065
"California|Joshua Tree NP, California",34.134728,-116.3130661,85654MMP+VQ,06071
California|Joshua Tree National Park,34.134728,-116.3130661,85654MMP+VQ,06071
California|Julian,33.0786552,-116.6019637,855539HX+F6,06073
California|Kings Canyon NP--Grant Grove,36.7466296,-118.9759479,8583P2WF+MJ,06019
California|Kitchen Creek Trail,32.7851606,-116.4509845,8545QGPX+3J,06073
"California|Klamath River, California",41.8612461,-122.825589,84HVV56F+FQ,06093
"California|Lafayette Reservoir, California",37.8812127,-122.1426706,849VVVJ4+FW,06013
"California|Lassen Volcanic NP, California",40.5394389,-120.7120023,84GXG7QQ+Q5,06035
"California|Lighthouse, San Diego",32.962398,-117.2081837,8544XQ6R+XP,06073
"California|Livermore, California",37.6818745,-121.7680088,849WM6JJ+PQ,06001
California|Long Beach,33.7700504,-118.1937395,8553QRC4+2G,06037
"California|Mercey Hot Springs, California",36.704514,-120.859787,848XP43R+R3,06019
"California|Mines Rd, Livermore",37.6818745,-121.7680088,849WM6JJ+PQ,06001
"California|Mission Bay, San Diego",32.7778125,-117.226457,8544QQHF+4C,06073
"California|Mission Beach, San Diego",32.7706526,-117.2514447,8544QPCX+7C,06073
"California|Moonglow Dairy, Watsonville",36.910231,-121.7568946,848WW66V+36,06087
"California|Morro Bay, California",35.3659445,-120.8499924,847X9582+92,06079
"California|Moss Landing, California",36.8044003,-121.7868953,848WR637+Q6,06053
California|Moss landing,36.8044003,-121.7868953,848WR637+Q6,06053
California|Mount Lassen,35.3461017,-119.0744758,85728WWG+C6,06029
California|Napa,38.2975381,-122.286865,84CV7PX7+27,06055
"California|Natural Bridges St. Park, Santa Cruz",36.9529053,-122.0567543,848VXW3V+57,06087
California|New River Wetlands,33.0652374,-115.6486266,85563982+3G,06025
"California|New River crossing, Lack Road, near Salton Sea",33.0652374,-115.6486266,85563982+3G,06025
"California|Oakland - Arrowhead Marsh, California",37.7439112,-122.2136231,849VPQVP+HH,06001
"California|Oakville, Napa, California, US",38.4366996,-122.402785,84CVCHPW+MV,06055
California|Oceano,35.0988648,-120.612393,847X39XQ+G2,06079
California|Old Mine Road out of Rodeo,38.032977,-122.2669138,84CV2PMM+56,06013
"California|Olema, California",38.0407566,-122.7880459,84CV26R6+8Q,06041
"California|On the Rad, Carmel to Morro Bay",35.3659445,-120.8499924,847X9582+92,06079
"California|Orinda, California",37.8771476,-122.1796888,849VVRGC+V4,06013
"California|Pacific Grove, California",36.6177374,-121.9166215,848WJ39M+39,06053
"California|Peachwood Drive, Laguna Beach",33.5427189,-117.7853568,8554G6V7+3V,06059
"California|Pelagic Trip, Monterey",36.6002378,-121.8946761,848WJ424+34,06053
"California|Pelican Point, Pajaro Dunes, Watsonville",36.910231,-121.7568946,848WW66V+36,06087
"California|Pelican Point, Watsonville",36.8532603,-121.810474,848WV53Q+8R,06087
California|Petaluma,38.232417,-122.6366524,84CV69J7+X8,06097
California|Pinnacles Nat’l Park,36.5307965,-121.1451978,848WGVJ3+8W,06069
California|Pismo Beach,35.1427533,-120.6412827,847X49V5+4F,06079
"California|Point Lobos State Reserve, Carmel",36.5159123,-121.9422821,848WG385+93,06053
"California|Point Pinole, California",37.9933568,-122.3398581,849VXMV6+83,06013
"California|Point Reyes Limantour, California",38.0690894,-122.8069356,84CV359V+J6,06041
"California|Point Reyes, California",38.0690894,-122.8069356,84CV359V+J6,06041
"California|Post Ranch Inn, California",38.4339114,-122.6835626,84CVC8M8+HH,06097
"California|Rancho del Oso, Santa Cruz",37.0974138,-122.274148,849V3PWG+X8,06087
California|Redding,40.5865396,-122.3916754,84GVHJP5+J8,06089
California|Redwood City,37.4852152,-122.2363548,849VFQP7+3F,06081
"California|Redwoods NP;Founder's Grove, California",40.3512665,-123.9360174,84GR9327+GH,06023
"California|Reef Point, Crystal Cove State Park",33.5672487,-117.8168551,8554H58M+V7,06059
"California|River channel, San Diego",32.715738,-117.1610838,8544PR8Q+7H,06073
"California|Round Valley Regional Park / Cosumnes River Preserve, California",37.8520813,-121.7900992,849WV625+RX,06013
"California|Sacramento NWR, California",39.4298024,-122.1884138,84FVCRH6+WJ,06021
"California|Sacramento River, Redding",40.6518404,-122.43937,84GVMH26+P7,06089
"California|Sacramento River, Redding, California",40.6518404,-122.43937,84GVMH26+P7,06089
California|Salton Sea at Lindsay Road,33.1474773,-115.5212419,85564FWH+XG,06025
"California|San Diego River, San Diego",32.7602969,-117.2137618,8544QQ6P+4F,06073
"California|San Elijo Lagoon, San Diego",33.0140584,-117.2529145,85542P7W+JR,06073
California|San Francisco,37.7749295,-122.4194155,849VQHFJ+X6,06075
"California|San Francisco, California",37.7749295,-122.4194155,849VQHFJ+X6,06075
"California|San Joaquin Wildlife Refuge, Orange County",33.6612156,-117.8404283,8554M565+FR,06059
California|San Joaquin Wildlife Sanctuary,33.6612156,-117.8404283,8554M565+FR,06059
"California|Santa Barbara, California",34.4208305,-119.6981901,8562C8C2+8P,06083
California|Santiago Stables,33.6770003,-117.6790527,8554M8GC+R9,06059
"California|Shasta Caverns Rd, Lakehead",40.79719,-122.2943145,84GVQPW4+V7,06089
California|Sonny Bono Salton Sea NWR HQ,33.1773226,-115.6175604,855659GJ+WX,06025
California|Sonny Bono Salton Sea NWR--Unit 1,33.1773226,-115.6175604,855659GJ+WX,06025
"California|Sweetwater Marsh NWR, San Diego",32.715738,-117.1610838,8544PR8Q+7H,06073
"California|The Rock, Morro Bay",35.3781464,-120.906855,847X93HV+77,06079
"California|Tijuana Slough, San Diego",32.5560167,-117.1278582,8544HV4C+CV,06073
"California|Torrey Pines, San Diego",32.8917558,-117.241156,8544VQR5+PG,06073
California|Tucker Wildlife Sanctuary,33.7105921,-117.6190174,8554P96J+69,06059
"California|Tule Lake, California",41.9559884,-121.4774916,84HWXG4F+92,06093
"California|US 101, Santa Maria",34.844996,-120.3782671,846XRJVC+XM,06083
California|US-CA-Aguanga-41624-41898 Highway 79 - 33.4686x-116.9362,33.4686,-116.9362,8555F397+CG,06065
California|US-CA-Bodega Bay--Tides Wharf area,,,,
California|US-CA-Borrego Springs-Anza-borrego Desert State Park - 33.2579x-116.4059,33.2579,-116.4059,85557H5V+5J,06073
California|US-CA-Calistoga-4045 Saint Helena Hwy - 38.5580x-122.5421,38.558,-122.5421,84CVHF55+55,06055
California|US-CA-Capitola City Beach,,,,
California|US-CA-Carlsbad-3097 Ocean St - 33.1555x-117.3515,33.1555,-117.3515,85545J4X+69,06073
California|US-CA-Carlsbad-4750-4798 Bayshore Dr - 33.1427x-117.3211,33.1427,-117.3211,85544MVH+3H,06073
California|US-CA-Carlsbad-7350-7398 Gabbiano Ln - 33.0938x-117.3014,33.0938,-117.3014,85543MVX+GC,06073
California|US-CA-Carlsbad-Hospital Grove Park - 33.1773x-117.3420,33.1773,-117.342,85545MG5+W6,06073
California|US-CA-Channel Islands National Pk-Channel Islands National Park - 34.0213x-119.5422,34.0213,-119.5422,85622FC5+G4,06083
California|US-CA-Encinitas-215 W K St - 33.0364x-117.2943,33.0364,-117.2943,85542PP4+H7,06073
California|US-CA-Henry Cowell Redwoods SP--Zayante Trail,,,,
California|US-CA-Lemon Cove-37014-37024 Sierra Dr - 36.3904x-118.9605,36.3904,-118.9605,858392RQ+5R,06107
California|US-CA-Malibu-Charmlee County Park - 34.0415x-118.8941,34.0415,-118.8941,856324R4+H9,06037
California|US-CA-Monterey Bay Aquarium,,,,
California|US-CA-Moonglow Dairy,,,,
California|US-CA-Moss Landing-Moss Landing State Beach - 36.8156x-121.7901,,,,
California|US-CA-Napa-314 Soscol Ave - 38.2871x-122.2736,38.2871,-122.2736,84CV7PPG+RH,06055
California|US-CA-Napa-728 1st St - 38.3010x-122.2828,38.301,-122.2828,84CV8P28+9V,06055
California|US-CA-Oakville,38.4366996,-122.402785,84CVCHPW+MV,06055
"California|US-CA-Pacific Ocean - 38.2836x-123.0201 - Oct 8, 2017, 7:58 AM",38.2836,-123.0201,84CR7XMH+CX,06097
California|US-CA-Paicines-Pinnacles National Park - 36.4932x-121.1463,,,,
California|US-CA-Pajaro Dunes--Shorebirds Pond,,,,
California|US-CA-Pajaro Dunes--near Pajaro River mouth (SCZ Co.),,,,
California|US-CA-San Diego-4454 Pacific Hwy - 32.7517x-117.2010,32.7517,-117.201,8544QQ2X+MJ,06073
California|US-CA-San Diego-Cabrillo National Monument - 32.6749x-117.2396,32.6749,-117.2396,8544MQF6+X5,06073
California|US-CA-San Diego-Ellen Browning Scripps Park - 32.8505x-117.2734,32.8505,-117.2734,8544VP2G+5J,06073
"California|US-CA-Sequoia National Park - 36.6075x-118.7547 - May 21, 2016, 6:09 AM",36.6075,-118.7547,8583J65W+24,06107
California|US-CA-Squaw Valley-32324 Indian Guide Rd - 36.7317x-119.2273,36.7317,-119.2273,8582PQJF+M3,06019
California|US-CA-Ventura-3750 Olivas Park Dr - 34.2364x-119.2560,34.2364,-119.256,85626PPV+HH,06111
"California|US-CA-Yosemite National Park - 37.7452x-119.5856 - May 24, 2016, 2:56 PM",37.7452,-119.5856,8592PCW7+3Q,06043
"California|US-San Diego-885 W Harbor Dr - 32.7084x-117.1713 - May 11, 2016, 3:23 PM",32.7084,-117.1713,8544PR5H+9F,06073
California|Upper Newport Bay,33.6545639,-117.8884708,8554M436+RJ,06059
California|Ventura,34.274646,-119.2290316,85627QFC+V9,06111
"California|Via Floreado, Orinda",37.8963749,-122.1743349,849VVRWG+G7,06013
California|Wild Animal Park,33.0974458,-116.9957227,855532W3+XP,06073
"California|Wild Animal Park, San Diego",33.0974458,-116.9957227,855532W3+XP,06073
"California|along the sea wall, Salton Sea",33.3096558,-116.1194899,85558V5J+V6,06073
California|downtown Santa Anna,33.7454725,-117.867653,8554P4WJ+5W,06059
"Canada|Banff, Alberta",,,,
"Canada|Broken Group, British Columbia",,,,
Canada|CA-NB-Hopewell-4266 Route 114 - 45.8244x-64.5908,45.8244,-64.5908,87QQRCF5+QM,
"Canada|CA-NS-1540-1606 Highway 7 - 44.9631x-62.0815 - Aug 16, 2017, 5:33 PM",44.9631,-62.0815,87PVXW79+69,
"Canada|CA-NS-401 Hawthorne St - 45.6318x-62.0159 - Aug 15, 2017, 3:09 PM",45.6318,-62.0159,87QVJXJM+PJ,
"Canada|Calgary - Inglewood, Alberta",,,,
Canada|Cape Breton Highlands NP--Middle Head,,,,
"Canada|Churchill, Manitoba",,,,
Canada|Chéticamp,,,,
"Canada|Clayoquot Sound, British Columbia",,,,
Canada|Cole Harbour--Salt Marsh Trail,,,,
"Canada|Deer Group, British Columbia",,,,
"Canada|Della Falls, British Columbia",,,,
"Canada|Edmonton, Alberta",,,,
"Canada|Fort White Alive, Winnipeg",,,,
Canada|GC,,,,
"Canada|GC, HW",,,,
"Canada|Gordon Island, Queen Charlotte Islands",,,,
"Canada|Granville Island, Vancouver",,,,
"Canada|Green Gables, Cavendish",,,,
"Canada|Grouse Mountain, Vancouver",,,,
"Canada|Grouse Mt., Vancouver",,,,
Canada|Gulf Shore Parkway,,,,
"Canada|Harbor, Port Alberni",,,,
"Canada|Highway 1, Manitoba",,,,
"Canada|Highway 19, British Columbia",,,,
"Canada|Hwy 19 near Nanaimo, British Columbia",,,,
"Canada|Johnstone Strait, British Columbia",,,,
"Canada|Kitsuksis River walking trail, Port Alberni",,,,
"Canada|Kitsuksis, Port Alberni",,,,
"Canada|LatLon (-124.85052855, 49.29967665), British Columbia",,,,
"Canada|LatLon (-124.85077213, 49.2992674), British Columbia",,,,
"Canada|LatLon (-124.85077883, 49.2993169), British Columbia",,,,
"Canada|LatLon (-124.85080884, 49.29928115), British Columbia",,,,
"Canada|LatLon (-124.85098226, 49.29936476), British Columbia",,,,
"Canada|Log Train Trail, Port Alberni",,,,
"Canada|Midcoast, British Columbia",,,,
Canada|Nanaimo,,,,
"Canada|Nanaimo, British Columbia",,,,
"Canada|Nootka, British Columbia",,,,
Canada|Peggy's Cove,,,,
Canada|Point Pelee National Park,,,,
Canada|Port Alberni,,,,
"Canada|Portage la Prairie, Manitoba",,,,
Canada|Queen Charlotte Islands,,,,
Canada|Rainbow Haven Provincial Park,,,,
"Canada|Richmond, dyke walk, British Columbia",,,,
"Canada|Salt spring Island, British Columbia",,,,
"Canada|Shore Road, Eastern Passage",,,,
"Canada|Sidney, British Columbia",,,,
Canada|Spectacle Lake Park,,,,
"Canada|Springfield, Port Alberni",,,,
"Canada|Sproat Lake, Port Alberni",,,,
Canada|Stamp Falls,,,,
"Canada|Stamp Falls, Port Alberni",,,,
"Canada|Stanley Park, Vancouver",,,,
"Canada|Strait of Juan de Fuca, British Columbia",,,,
"Canada|Swan Island camp, Queen Charlotte Islands",,,,
"Canada|Tow Hill, Queen Charlotte Islands",,,,
Canada|Train to Churchill,,,,
"Canada|Tsawassen ferry terminal, British Columbia",,,,
Canada|Vancouver,,,,
"Canada|Vancouver, BC",,,,
"Canada|Vancouver, British Columbia",,,,
"Canada|Victoria Harbor, British Columbia",,,,
"Canada|Victoria and Harbor, British Columbia",,,,
"Canada|Victoria, British Columbia",,,,
"Canada|View Royal, British Columbia",,,,
"Canada|Wandering Island, Queen Charlotte Islands",,,,
"Canada|Wanukewin, Saskatchewan",,,,
Canada|West Vancouver,,,,
"Canada|Wickanninnish Inn, British Columbia",,,,
Canada|Winnipeg,,,,
"Canada|Winnipeg, Manitoba",,,,
Canada|Wood Islands Provincial Park,,,,
"Canada|Zeballos, British Columbia",,,,
"Canada|near McLaughlin Bay, British Columbia",,,,
"Cayman Islands|KY-Cayman Islands - 19.2662x-81.2646 - Mar 6, 2017, 7:35 AM",19.2662,-81.2646,76FW7P8P+F5,
China|Beijimg,,,,
China|Beijing,,,,
"China|Formosa Hotel, Tarokko, Taiwan",,,,
China|Guilin/Li River,,,,
China|Hong Kong,,,,
China|Jingzhou,,,,
"China|Li River, Guilin",,,,
China|Shibaozhai Pagoda,,,,
"China|Shibaozhai Pagoda, Yangtze River",,,,
"China|Summer Palace, Beijing",,,,
"China|Temple of Heaven, Beijing",,,,
"China|Wild Goose Pagoda, Xi-An",,,,
China|Xi-An,,,,
China|Yangtze Dam,,,,
"Colorado|Bear Lake, Rocky Mountain National Park",40.3772059,-105.5216651,85GP9FGH+V8,08069
Colorado|Black Canyon of the Gunnison Natl Park,38.5753936,-107.7415961,85CJH7G5+59,08085
"Colorado|Box Canyon Falls, Ouray",38.0180022,-107.6776342,85CJ289C+6W,08091
"Colorado|CO-125, Colorado",,,,
"Colorado|Cub Lake, Rocky Mountain National Park",40.3498262,-105.6356032,85GP89X7+WQ,08069
"Colorado|Devil's Gulch Rd, Rocky Mountain National Park",40.4135621,-105.4838322,85GPCG78+CF,08069
"Colorado|Dream Lake, Rocky Mountain National Park",40.3772059,-105.5216651,85GP9FGH+V8,08069
"Colorado|Fall River, Rocky Mountain National Park",40.3772059,-105.5216651,85GP9FGH+V8,08069
Colorado|Fluorissant Fossil Bed Natl Monument,39.0916586,-104.872758,85FQ34RG+MV,08041
"Colorado|Garden of the Gods, Colorado",38.8649829,-104.8942428,85CQV474+X8,08041
"Colorado|Garden of the Gods, Colorado Springs",38.8979579,-104.8722474,85CQV4XH+54,08041
"Colorado|Great Sand Dunes NP, Colorado",37.7330113,-105.514687,859PPFMP+64,08003
Colorado|Great Sand Dunes National Park,37.7330113,-105.514687,859PPFMP+64,08003
Colorado|Gunnison,38.5458246,-106.9253207,85CMG3WF+8V,08051
"Colorado|Gunnison, Colorado",38.5458246,-106.9253207,85CMG3WF+8V,08051
Colorado|Mesa Verde Nat'l Park,37.3316468,-108.4179912,859H8HJJ+MR,08083
"Colorado|Monarch Lake CO, Colorado",40.1045406,-105.7395182,85GP4736+R5,08049
"Colorado|North Cheyenne Canon Park, Colorado",38.7907924,-104.876138,85CQQ4RF+8G,08041
Colorado|Ouray,38.0227716,-107.6714487,85CJ28FH+4C,08091
Colorado|Pagosa Springs,37.26945,-107.0097617,859J7X9R+Q3,08007
"Colorado|Pikes Peak, Colorado",38.8408865,-105.0510143,85CPRWRX+9H,08041
